Call Failure,Complaints,Subscription Length,Charge Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,Churn
3,0,24,1,1863,43,44,81,4,1,1,45,157.65,0
0,0,32,0,7023,113,366,36,2,1,1,25,1968.12,0
9,0,37,1,11655,155,20,50,4,1,1,45,345.25,0
20,0,39,3,9610,128,160,48,3,1,1,30,1029.52,0
5,0,35,0,2390,31,0,1,3,1,2,30,96.84,1
10,0,41,0,2408,64,367,28,3,1,1,30,1566.88,0
11,0,34,2,8935,113,133,38,3,1,1,30,893.92,0
0,1,32,0,0,0,0,0,2,1,2,25,0.0,1
17,0,37,5,7980,133,286,35,3,2,1,30,1468.52,0
7,0,35,1,3550,33,8,14,3,1,1,30,175.32,0
5,0,40,1,6413,75,109,36,2,1,1,25,782.46,0
7,0,46,0,623,17,22,7,3,1,2,30,113.6,0
10,0,36,3,3745,38,28,31,3,1,1,30,263.32,0
8,0,35,1,15780,186,164,43,2,1,1,25,1456.47,0
16,0,29,0,1005,31,17,9,3,1,2,30,109.44,0
6,0,16,3,2662,44,22,16,3,1,1,30,196.24,0
11,0,20,3,2600,42,56,31,3,1,1,30,329.68,0
2,0,31,0,825,16,29,4,4,1,2,45,93.525,0
3,1,29,0,2605,33,0,10,2,1,2,25,118.71,1
6,1,36,0,2865,43,13,19,2,1,2,25,189.36,1
0,0,22,0,2805,49,0,17,3,1,1,30,114.16,0
8,0,36,2,8925,121,169,45,3,1,1,30,1037.84,0
14,0,29,1,760,28,15,9,3,1,1,30,91.52,0
2,0,36,3,6740,112,274,35,2,2,1,25,1541.34,0
5,0,33,1,2965,20,7,11,3,1,1,30,147.4,0
11,0,28,6,9870,77,0,34,4,2,1,45,248.675,0
0,0,33,0,4030,69,0,18,3,1,1,30,163.96,0
0,0,35,0,3355,54,0,15,2,1,1,25,153.405,0
9,0,40,2,3400,33,490,10,3,1,1,30,2097.32,0
5,0,27,0,1015,10,7,2,4,1,2,45,43.125,0
0,0,30,0,0,0,0,0,2,1,2,25,0.0,0
1,0,39,0,305,9,0,10,3,1,2,30,12.56,0
6,1,34,0,2153,39,36,32,3,1,2,30,231.68,1
8,0,25,1,1540,40,190,9,3,2,1,30,823.2,0
0,0,31,0,2088,46,0,30,1,1,1,15,117.37,0
9,0,37,1,11710,157,13,47,4,1,1,45,329.175,0
11,0,41,3,6865,95,198,30,3,1,1,30,1070.4,0
13,0,41,0,1725,31,28,10,3,1,2,30,182.24,0
12,0,35,1,6943,79,105,35,2,1,1,25,788.49,0
8,0,16,3,2853,45,31,19,3,2,1,30,239.92,0
10,0,15,0,8742,170,64,37,4,1,1,45,382.8,0
12,1,32,0,5738,96,16,20,2,1,1,25,334.53,1
0,0,28,0,2215,37,153,15,2,1,1,25,789.84,0
18,0,45,3,4080,94,47,31,3,1,1,30,354.96,0
