iter	Passed	Remaining
0	6	1896
1	12	1796
2	18	1859
3	25	1903
4	32	1939
5	39	1942
6	46	1938
7	53	1939
8	59	1925
9	66	1919
10	72	1896
11	78	1882
12	85	1884
13	91	1877
14	98	1865
15	103	1840
16	109	1828
17	116	1821
18	122	1806
19	127	1783
20	132	1756
21	136	1723
22	140	1695
23	144	1666
24	148	1637
25	152	1610
26	157	1590
27	161	1570
28	165	1548
29	169	1527
30	173	1508
31	177	1489
32	180	1462
33	184	1445
34	188	1428
35	192	1412
36	196	1396
37	200	1384
38	204	1370
39	208	1357
40	212	1344
41	216	1332
42	220	1319
43	224	1308
44	229	1298
45	233	1288
46	237	1275
47	241	1267
48	245	1258
49	249	1249
50	253	1239
51	257	1229
52	262	1222
53	266	1216
54	271	1207
55	275	1199
56	279	1190
57	283	1183
58	287	1176
59	292	1168
60	296	1160
61	300	1152
62	304	1144
63	308	1136
64	312	1128
65	316	1120
66	320	1113
67	324	1106
68	328	1098
69	332	1091
70	336	1085
71	341	1080
72	345	1073
73	349	1066
74	353	1059
75	357	1053
76	361	1047
77	365	1040
78	370	1035
79	374	1029
80	378	1023
81	382	1016
82	386	1009
83	390	1003
84	394	998
85	398	992
86	403	986
87	407	981
88	411	975
89	416	970
90	420	964
91	424	958
92	428	953
93	432	946
94	436	941
95	440	935
96	444	929
97	448	924
98	452	919
99	456	913
100	460	908
101	464	902
102	469	897
103	473	891
104	477	886
105	481	880
106	485	875
107	489	870
108	493	865
109	497	859
110	502	854
111	506	850
112	510	845
113	515	840
114	519	835
115	523	830
116	527	825
117	531	820
118	536	815
119	540	810
120	544	805
121	548	800
122	553	796
123	557	791
124	561	785
125	565	781
126	569	776
127	573	770
128	577	765
129	581	760
130	585	755
131	589	750
132	593	745
133	598	741
134	602	736
135	606	731
136	610	726
137	614	721
138	618	716
139	622	711
140	626	706
141	630	701
142	634	696
143	638	691
144	642	687
145	646	682
146	650	677
147	654	672
148	658	667
149	662	662
150	666	657
151	670	652
152	675	648
153	680	645
154	686	641
155	691	638
156	697	635
157	702	631
158	708	628
159	713	624
160	719	621
161	724	617
162	731	614
163	736	610
164	740	605
165	744	600
166	748	596
167	752	591
168	756	586
169	760	581
170	764	576
171	768	571
172	772	567
173	776	562
174	780	557
175	784	552
176	788	548
177	793	543
178	797	538
179	801	534
180	805	529
181	809	524
182	813	519
183	817	515
184	821	510
185	825	506
186	829	501
187	833	496
188	837	492
189	842	487
190	846	482
191	850	478
192	854	473
193	859	469
194	864	465
195	868	460
196	872	456
197	877	451
198	881	447
199	885	442
200	890	438
201	894	433
202	898	429
203	902	424
204	907	420
205	911	415
206	915	411
207	919	406
208	923	402
209	927	397
210	932	393
211	936	388
212	941	384
213	945	380
214	950	375
215	955	371
216	959	367
217	964	362
218	968	358
219	972	353
220	977	349
221	981	344
222	985	340
223	989	335
224	994	331
225	998	326
226	1002	322
227	1006	317
228	1010	313
229	1014	308
230	1019	304
231	1023	299
232	1027	295
233	1031	290
234	1035	286
235	1039	281
236	1043	277
237	1047	272
238	1051	268
239	1056	264
240	1060	259
241	1064	255
242	1069	250
243	1073	246
244	1077	241
245	1082	237
246	1086	233
247	1091	228
248	1095	224
249	1099	219
250	1104	215
251	1109	211
252	1113	206
253	1118	202
254	1124	198
255	1129	194
256	1133	189
257	1139	185
258	1144	181
259	1148	176
260	1153	172
261	1158	168
262	1162	163
263	1167	159
264	1173	154
265	1177	150
266	1182	146
267	1187	141
268	1191	137
269	1197	133
270	1201	128
271	1206	124
272	1212	119
273	1217	115
274	1222	111
275	1227	106
276	1231	102
277	1237	97
278	1242	93
279	1248	89
280	1252	84
281	1257	80
282	1262	75
283	1266	71
284	1271	66
285	1276	62
286	1281	58
287	1286	53
288	1290	49
289	1294	44
290	1299	40
291	1303	35
292	1308	31
293	1312	26
294	1317	22
295	1322	17
296	1327	13
297	1332	8
298	1338	4
299	1342	0
