iter	Passed	Remaining
0	4	1378
1	8	1304
2	13	1316
3	18	1358
4	22	1353
5	27	1353
6	32	1363
7	38	1389
8	44	1450
9	50	1467
10	57	1514
11	63	1519
12	68	1516
13	73	1509
14	78	1496
15	83	1483
16	88	1475
17	93	1462
18	98	1456
19	103	1448
20	108	1438
21	113	1429
22	118	1426
23	123	1418
24	128	1411
25	133	1402
26	137	1393
27	142	1383
28	147	1376
29	152	1369
30	156	1360
31	161	1352
32	166	1344
33	170	1337
34	175	1329
35	180	1322
36	185	1315
37	188	1299
38	193	1295
39	198	1288
40	201	1273
41	206	1267
42	211	1261
43	215	1254
44	220	1248
45	224	1241
46	229	1234
47	233	1227
48	238	1222
49	243	1217
50	248	1212
51	253	1208
52	258	1203
53	263	1200
54	268	1195
55	271	1184
56	276	1178
57	281	1173
58	286	1168
59	290	1162
60	295	1157
61	300	1152
62	304	1147
63	309	1141
64	314	1137
65	319	1131
66	324	1127
67	328	1121
68	333	1117
69	338	1112
70	343	1108
71	348	1103
72	353	1098
73	357	1093
74	363	1089
75	367	1084
76	372	1078
77	377	1074
78	382	1070
79	387	1064
80	392	1060
81	397	1055
82	401	1050
83	406	1045
84	411	1040
85	416	1035
86	420	1029
87	425	1025
88	430	1019
89	434	1014
90	439	1009
91	444	1005
92	449	1000
93	454	995
94	458	990
95	463	985
96	468	980
97	473	975
98	477	970
99	482	965
100	487	961
101	492	955
102	497	951
103	502	946
104	507	941
105	511	936
106	516	931
107	521	927
108	526	921
109	531	917
110	535	912
111	540	906
112	545	902
113	549	896
114	554	891
115	559	887
116	564	882
117	569	878
118	575	875
119	580	871
120	586	867
121	592	863
122	597	860
123	603	856
124	609	852
125	614	848
126	619	844
127	624	839
128	629	834
129	634	829
130	639	824
131	644	820
132	649	815
133	654	810
134	659	805
135	664	800
136	669	796
137	673	791
138	678	786
139	683	781
140	687	775
141	692	770
142	697	765
143	702	760
144	707	755
145	711	750
146	716	745
147	720	740
148	725	735
149	730	730
150	735	725
151	739	720
152	744	715
153	749	710
154	754	705
155	758	700
156	763	695
157	768	690
158	773	685
159	778	680
160	783	676
161	787	670
162	792	666
163	797	661
164	801	656
165	806	650
166	810	645
167	815	640
168	820	635
169	824	630
170	829	625
171	834	621
172	839	615
173	843	610
174	848	606
175	853	601
176	858	596
177	863	591
178	868	586
179	872	581
180	877	576
181	882	571
182	886	566
183	891	561
184	895	556
185	900	552
186	905	547
187	910	542
188	915	537
189	919	532
190	924	527
191	929	522
192	934	517
193	938	513
194	943	508
195	948	503
196	953	498
197	958	493
198	963	488
199	967	483
200	972	478
201	977	474
202	981	469
203	986	464
204	991	459
205	995	454
206	1000	449
207	1004	444
208	1009	439
209	1013	434
210	1018	429
211	1023	424
212	1027	419
213	1033	415
214	1037	410
215	1042	405
216	1047	400
217	1052	395
218	1057	391
219	1062	386
220	1067	381
221	1073	377
222	1079	372
223	1084	368
224	1090	363
225	1095	358
226	1100	354
227	1105	349
228	1111	344
229	1115	339
230	1120	334
231	1125	330
232	1131	325
233	1135	320
234	1140	315
235	1145	310
236	1149	305
237	1154	300
238	1159	295
239	1163	290
240	1168	286
241	1173	281
242	1177	276
243	1182	271
244	1186	266
245	1191	261
246	1195	256
247	1200	251
248	1204	246
249	1209	241
250	1213	236
251	1218	232
252	1223	227
253	1228	222
254	1232	217
255	1238	212
256	1242	207
257	1247	203
258	1252	198
259	1256	193
260	1261	188
261	1265	183
262	1270	178
263	1275	173
264	1280	169
265	1284	164
266	1289	159
267	1294	154
268	1299	149
269	1303	144
270	1308	140
271	1313	135
272	1317	130
273	1322	125
274	1327	120
275	1332	115
276	1337	111
277	1342	106
278	1346	101
279	1351	96
280	1355	91
281	1360	86
282	1365	82
283	1370	77
284	1374	72
285	1379	67
286	1384	62
287	1389	57
288	1394	53
289	1399	48
290	1403	43
291	1408	38
292	1413	33
293	1417	28
294	1422	24
295	1427	19
296	1432	14
297	1436	9
298	1441	4
299	1446	0
